Fecha,CCAA,Tipo_Producto,Producto_slug,Consumo_Tm
2023-01,País Vasco,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,13659
2023-01,País Vasco,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,617
2023-01,País Vasco,OTRAS GASOLINAS,OtrasGasolinas,1
2023-01,País Vasco,OTROS FUELÓLEOS,OtrosFueloleos,0
2023-01,País Vasco,OTROS GASOLEOS,OtrosGasoleos,1321
2023-01,País Vasco,OTROS QUEROSENOS,OtrosQueroseno,4
2023-01,País Vasco,QUEROSENO AVIACIÓN,QuerosenoAviacion,5810
2023-01,"Rioja, La",BIODIESEL,Biodiesel,0
2023-01,"Rioja, La",BIOETANOL,Bioetanol,0
2023-01,"Rioja, La",FUELÓLEO  BIA,Fueloleo_BIA,81
2023-01,"Rioja, La",GLP,GLP,711
2023-01,"Rioja, La",GASÓLEO A,GasoleoA,10234
2023-01,"Rioja, La",GASÓLEO B,GasoleoB,3261
2023-01,"Rioja, La",GASÓLEO C,GasoleoC,1896
2023-01,"Rioja, La",GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,1690
2023-01,"Rioja, La",GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,59
2023-01,"Rioja, La",OTRAS GASOLINAS,OtrasGasolinas,0
2023-01,"Rioja, La",OTROS FUELÓLEOS,OtrosFueloleos,0
2023-01,"Rioja, La",OTROS GASOLEOS,OtrosGasoleos,0
2023-01,"Rioja, La",OTROS QUEROSENOS,OtrosQueroseno,0
2023-01,"Rioja, La",QUEROSENO AVIACIÓN,QuerosenoAviacion,1
2023-02,Andalucía,BIODIESEL,Biodiesel,0
2023-02,Andalucía,BIOETANOL,Bioetanol,0
2023-02,Andalucía,FUELÓLEO  BIA,Fueloleo_BIA,2104
2023-02,Andalucía,GLP,GLP,28534
2023-02,Andalucía,GASÓLEO A,GasoleoA,261675
2023-02,Andalucía,GASÓLEO B,GasoleoB,54911
2023-02,Andalucía,GASÓLEO C,GasoleoC,8022
2023-02,Andalucía,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,60259
2023-02,Andalucía,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,2362
2023-02,Andalucía,OTRAS GASOLINAS,OtrasGasolinas,77
2023-02,Andalucía,OTROS FUELÓLEOS,OtrosFueloleos,204789
