Fecha,CCAA,Provincia,Tipo_Producto,Producto_slug,Consumo_Tm,source_file
2023-01,Canarias,Santa Cruz de Tenerife,OTRAS GASOLINAS,OtrasGasolinas,0,ds_14200_1.csv
2023-01,Canarias,Santa Cruz de Tenerife,OTROS FUELÓLEOS,OtrosFueloleos,25937,ds_14200_1.csv
2023-01,Canarias,Santa Cruz de Tenerife,OTROS GASOLEOS,OtrosGasoleos,41676,ds_14200_1.csv
2023-01,Canarias,Santa Cruz de Tenerife,OTROS QUEROSENOS,OtrosQueroseno,1,ds_14200_1.csv
2023-01,Canarias,Santa Cruz de Tenerife,QUEROSENO AVIACIÓN,QuerosenoAviacion,52481,ds_14200_1.csv
2023-01,Cantabria,Cantabria,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Cantabria,Cantabria,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Cantabria,Cantabria,FUELÓLEO  BIA,Fueloleo_BIA,524,ds_14200_1.csv
2023-01,Cantabria,Cantabria,GLP,GLP,2352,ds_14200_1.csv
2023-01,Cantabria,Cantabria,GASÓLEO A,GasoleoA,20423,ds_14200_1.csv
2023-01,Cantabria,Cantabria,GASÓLEO B,GasoleoB,4306,ds_14200_1.csv
2023-01,Cantabria,Cantabria,GASÓLEO C,GasoleoC,289,ds_14200_1.csv
2023-01,Cantabria,Cantabria,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,4390,ds_14200_1.csv
2023-01,Cantabria,Cantabria,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,146,ds_14200_1.csv
2023-01,Cantabria,Cantabria,OTRAS GASOLINAS,OtrasGasolinas,1,ds_14200_1.csv
2023-01,Cantabria,Cantabria,OTROS FUELÓLEOS,OtrosFueloleos,0,ds_14200_1.csv
2023-01,Cantabria,Cantabria,OTROS GASOLEOS,OtrosGasoleos,286,ds_14200_1.csv
2023-01,Cantabria,Cantabria,OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,Cantabria,Cantabria,QUEROSENO AVIACIÓN,QuerosenoAviacion,782,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,FUELÓLEO  BIA,Fueloleo_BIA,647,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,GLP,GLP,1475,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,GASÓLEO A,GasoleoA,14906,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,GASÓLEO B,GasoleoB,6990,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,GASÓLEO C,GasoleoC,2213,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,2308,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,88,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,OTRAS GASOLINAS,OtrasGasolinas,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,OTROS FUELÓLEOS,OtrosFueloleos,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,OTROS GASOLEOS,OtrosGasoleos,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Albacete,QUEROSENO AVIACIÓN,QuerosenoAviacion,42,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,FUELÓLEO  BIA,Fueloleo_BIA,467,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,GLP,GLP,1488,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,GASÓLEO A,GasoleoA,21671,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,GASÓLEO B,GasoleoB,7283,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,GASÓLEO C,GasoleoC,2667,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,3072,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,93,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,OTRAS GASOLINAS,OtrasGasolinas,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,OTROS FUELÓLEOS,OtrosFueloleos,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,OTROS GASOLEOS,OtrosGasoleos,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Ciudad Real,QUEROSENO AVIACIÓN,QuerosenoAviacion,41,ds_14200_1.csv
2023-01,Castilla - La Mancha,Cuenca,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Cuenca,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Cuenca,FUELÓLEO  BIA,Fueloleo_BIA,1328,ds_14200_1.csv
2023-01,Castilla - La Mancha,Cuenca,GLP,GLP,1051,ds_14200_1.csv
2023-01,Castilla - La Mancha,Cuenca,GASÓLEO A,GasoleoA,12894,ds_14200_1.csv
2023-01,Castilla - La Mancha,Cuenca,GASÓLEO B,GasoleoB,8741,ds_14200_1.csv
2023-01,Castilla - La Mancha,Cuenca,GASÓLEO C,GasoleoC,1176,ds_14200_1.csv
2023-01,Castilla - La Mancha,Cuenca,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,1697,ds_14200_1.csv
2023-01,Castilla - La Mancha,Cuenca,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,54,ds_14200_1.csv
2023-01,Castilla - La Mancha,Cuenca,OTRAS GASOLINAS,OtrasGasolinas,3,ds_14200_1.csv
2023-01,Castilla - La Mancha,Cuenca,OTROS FUELÓLEOS,OtrosFueloleos,0,ds_14200_1.csv
2023-01,Castilla - La Mancha,Cuenca,OTROS GASOLEOS,OtrosGasoleos,0,ds_14200_1.csv
