Grupos ECOICOP	Tipo de dato	Periodo	Total
03 Vestido y calzado	Variación de las medias anuales	2010	-0,3
03 Vestido y calzado	Variación de las medias anuales	2009	-1,7
03 Vestido y calzado	Variación de las medias anuales	2008	0,7
03 Vestido y calzado	Variación de las medias anuales	2007	1,1
03 Vestido y calzado	Variación de las medias anuales	2006	1,3
03 Vestido y calzado	Variación de las medias anuales	2005	1,4
03 Vestido y calzado	Variación de las medias anuales	2004	1,8
03 Vestido y calzado	Variación de las medias anuales	2003	3,8
03 Vestido y calzado	Variación de las medias anuales	2002	""
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2025	113,088
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2024	106,508
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2023	102,786
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2022	115,505
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2021	100,000
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2020	89,977
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2019	93,281
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2018	94,665
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2017	92,483
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2016	88,994
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2015	92,934
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2014	94,934
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2013	93,692
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2012	92,845
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2011	88,367
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2010	82,398
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2009	79,586
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2008	78,565
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2007	73,669
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2006	71,064
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2005	66,709
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2004	63,340
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2003	61,199
04 Vivienda, agua, electricidad, gas y otros combustibles	Media anual	2002	59,478
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2025	6,2
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2024	3,6
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2023	-11,0
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2022	15,5
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2021	11,1
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2020	-3,5
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2019	-1,5
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2018	2,4
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2017	3,9
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2016	-4,2
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2015	-2,1
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2014	1,3
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2013	0,9
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2012	5,1
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2011	7,2
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2010	3,5
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2009	1,3
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2008	6,6
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2007	3,7
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2006	6,5
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2005	5,3
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2004	3,5
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2003	2,9
04 Vivienda, agua, electricidad, gas y otros combustibles	Variación de las medias anuales	2002	""
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2025	113,332
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2024	112,524
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2023	111,683
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2022	106,344
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2021	100,000
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2020	99,068
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2019	98,692
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2018	98,051
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2017	97,918
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2016	98,352
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2015	98,197
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2014	98,417
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2013	98,959
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2012	98,048
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2011	97,195
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2010	96,113
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2009	95,557
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2008	94,184
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2007	91,820
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2006	89,504
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2005	87,250
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2004	85,450
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2003	84,141
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Media anual	2002	82,485
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2025	0,7
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2024	0,8
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2023	5,0
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2022	6,3
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2021	0,9
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2020	0,4
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2019	0,7
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2018	0,1
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2017	-0,4
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2016	0,2
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2015	-0,2
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2014	-0,5
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2013	0,9
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2012	0,9
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2011	1,1
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2010	0,6
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2009	1,5
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2008	2,6
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2007	2,6
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2006	2,6
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2005	2,1
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2004	1,6
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2003	2,0
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar	Variación de las medias anuales	2002	""
06 Sanidad	Media anual	2025	107,242
06 Sanidad	Media anual	2024	105,089
06 Sanidad	Media anual	2023	102,995
06 Sanidad	Media anual	2022	101,102
06 Sanidad	Media anual	2021	100,000
06 Sanidad	Media anual	2020	99,322
06 Sanidad	Media anual	2019	98,956
06 Sanidad	Media anual	2018	98,157
06 Sanidad	Media anual	2017	97,870
06 Sanidad	Media anual	2016	97,151
06 Sanidad	Media anual	2015	97,388
06 Sanidad	Media anual	2014	97,251
06 Sanidad	Media anual	2013	97,125
06 Sanidad	Media anual	2012	90,871
06 Sanidad	Media anual	2011	87,763
06 Sanidad	Media anual	2010	88,945
06 Sanidad	Media anual	2009	89,808
06 Sanidad	Media anual	2008	90,416
06 Sanidad	Media anual	2007	90,265
06 Sanidad	Media anual	2006	91,657
06 Sanidad	Media anual	2005	90,441
06 Sanidad	Media anual	2004	89,674
06 Sanidad	Media anual	2003	89,336
06 Sanidad	Media anual	2002	87,502
06 Sanidad	Variación de las medias anuales	2025	2,0
06 Sanidad	Variación de las medias anuales	2024	2,0
06 Sanidad	Variación de las medias anuales	2023	1,9
06 Sanidad	Variación de las medias anuales	2022	1,1
06 Sanidad	Variación de las medias anuales	2021	0,7
06 Sanidad	Variación de las medias anuales	2020	0,4
06 Sanidad	Variación de las medias anuales	2019	0,8
06 Sanidad	Variación de las medias anuales	2018	0,3
06 Sanidad	Variación de las medias anuales	2017	0,7
06 Sanidad	Variación de las medias anuales	2016	-0,2
06 Sanidad	Variación de las medias anuales	2015	0,1
06 Sanidad	Variación de las medias anuales	2014	0,1
06 Sanidad	Variación de las medias anuales	2013	6,9
06 Sanidad	Variación de las medias anuales	2012	3,5
06 Sanidad	Variación de las medias anuales	2011	-1,3
06 Sanidad	Variación de las medias anuales	2010	-1,0
06 Sanidad	Variación de las medias anuales	2009	-0,7
06 Sanidad	Variación de las medias anuales	2008	0,2
06 Sanidad	Variación de las medias anuales	2007	-1,5
06 Sanidad	Variación de las medias anuales	2006	1,3
06 Sanidad	Variación de las medias anuales	2005	0,9
06 Sanidad	Variación de las medias anuales	2004	0,4
06 Sanidad	Variación de las medias anuales	2003	2,1
06 Sanidad	Variación de las medias anuales	2002	""
07 Transporte	Media anual	2025	113,083
07 Transporte	Media anual	2024	112,484
07 Transporte	Media anual	2023	111,730
07 Transporte	Media anual	2022	112,150
07 Transporte	Media anual	2021	100,000
07 Transporte	Media anual	2020	93,197
07 Transporte	Media anual	2019	96,867
07 Transporte	Media anual	2018	95,770
07 Transporte	Media anual	2017	92,482
07 Transporte	Media anual	2016	88,777
07 Transporte	Media anual	2015	90,639
07 Transporte	Media anual	2014	94,880
07 Transporte	Media anual	2013	95,790
07 Transporte	Media anual	2012	95,398
07 Transporte	Media anual	2011	91,042
07 Transporte	Media anual	2010	84,285
07 Transporte	Media anual	2009	78,862
07 Transporte	Media anual	2008	83,732
07 Transporte	Media anual	2007	79,117
07 Transporte	Media anual	2006	77,525
07 Transporte	Media anual	2005	74,188
07 Transporte	Media anual	2004	69,780
07 Transporte	Media anual	2003	66,834
07 Transporte	Media anual	2002	65,474
07 Transporte	Variación de las medias anuales	2025	0,5
