Sexo	Comunidades y Ciudades Autónomas	Edad	Periodo	Total
Ambos sexos	02 Aragón	De 16 a 19 años	2023T1	40,01
Ambos sexos	02 Aragón	De 16 a 19 años	2022T4	32,79
Ambos sexos	02 Aragón	De 16 a 19 años	2022T3	39,22
Ambos sexos	02 Aragón	De 16 a 19 años	2022T2	30,42
Ambos sexos	02 Aragón	De 16 a 19 años	2022T1	25,78
Ambos sexos	02 Aragón	De 16 a 19 años	2021T4	27,61
Ambos sexos	02 Aragón	De 16 a 19 años	2021T3	43,92
Ambos sexos	02 Aragón	De 16 a 19 años	2021T2	17,64
Ambos sexos	02 Aragón	De 16 a 19 años	2021T1	51,80
Ambos sexos	02 Aragón	De 20 a 24 años	2023T4	19,09
Ambos sexos	02 Aragón	De 20 a 24 años	2023T3	17,64
Ambos sexos	02 Aragón	De 20 a 24 años	2023T2	22,79
Ambos sexos	02 Aragón	De 20 a 24 años	2023T1	16,16
Ambos sexos	02 Aragón	De 20 a 24 años	2022T4	17,14
Ambos sexos	02 Aragón	De 20 a 24 años	2022T3	25,26
Ambos sexos	02 Aragón	De 20 a 24 años	2022T2	26,64
Ambos sexos	02 Aragón	De 20 a 24 años	2022T1	17,69
Ambos sexos	02 Aragón	De 20 a 24 años	2021T4	18,12
Ambos sexos	02 Aragón	De 20 a 24 años	2021T3	20,02
Ambos sexos	02 Aragón	De 20 a 24 años	2021T2	22,36
Ambos sexos	02 Aragón	De 20 a 24 años	2021T1	31,43
Ambos sexos	02 Aragón	De 25 a 54 años	2023T4	6,63
Ambos sexos	02 Aragón	De 25 a 54 años	2023T3	6,62
Ambos sexos	02 Aragón	De 25 a 54 años	2023T2	7,31
Ambos sexos	02 Aragón	De 25 a 54 años	2023T1	8,96
Ambos sexos	02 Aragón	De 25 a 54 años	2022T4	8,82
Ambos sexos	02 Aragón	De 25 a 54 años	2022T3	7,88
Ambos sexos	02 Aragón	De 25 a 54 años	2022T2	7,49
Ambos sexos	02 Aragón	De 25 a 54 años	2022T1	10,12
Ambos sexos	02 Aragón	De 25 a 54 años	2021T4	8,13
Ambos sexos	02 Aragón	De 25 a 54 años	2021T3	7,68
Ambos sexos	02 Aragón	De 25 a 54 años	2021T2	10,35
Ambos sexos	02 Aragón	De 25 a 54 años	2021T1	11,04
Ambos sexos	02 Aragón	De 55 y más años	2023T4	7,74
Ambos sexos	02 Aragón	De 55 y más años	2023T3	7,33
Ambos sexos	02 Aragón	De 55 y más años	2023T2	7,09
Ambos sexos	02 Aragón	De 55 y más años	2023T1	5,73
Ambos sexos	02 Aragón	De 55 y más años	2022T4	8,20
Ambos sexos	02 Aragón	De 55 y más años	2022T3	6,65
Ambos sexos	02 Aragón	De 55 y más años	2022T2	8,15
Ambos sexos	02 Aragón	De 55 y más años	2022T1	7,18
Ambos sexos	02 Aragón	De 55 y más años	2021T4	8,84
Ambos sexos	02 Aragón	De 55 y más años	2021T3	7,57
Ambos sexos	02 Aragón	De 55 y más años	2021T2	8,81
Ambos sexos	02 Aragón	De 55 y más años	2021T1	9,12
