Target,Model,Scenario,Fecha,Forecast,Selected_Model_Uses_Scenario_Inputs
Nacional,XGBoost,Mandate_Delayed,2026-06,18746.0,False
Nacional,XGBoost,Mandate_Delayed,2026-07,18746.0,False
Nacional,XGBoost,Mandate_Delayed,2026-08,18746.0,False
Nacional,XGBoost,Mandate_Delayed,2026-09,18744.7,False
Nacional,XGBoost,Mandate_Delayed,2026-10,18746.0,False
Nacional,XGBoost,Mandate_Delayed,2026-11,18746.0,False
Nacional,XGBoost,Mandate_Delayed,2026-12,18744.7,False
Nacional,XGBoost,Mandate_Delayed,2027-01,16510.4,False
Nacional,XGBoost,Mandate_Delayed,2027-02,16477.6,False
Nacional,XGBoost,Mandate_Delayed,2027-03,17105.0,False
Nacional,XGBoost,Mandate_Delayed,2027-04,17554.0,False
Nacional,XGBoost,Mandate_Delayed,2027-05,18530.6,False
Nacional,XGBoost,Mandate_Delayed,2027-06,18746.0,False
Nacional,XGBoost,Mandate_Delayed,2027-07,18746.0,False
Nacional,XGBoost,Mandate_Delayed,2027-08,18746.0,False
Nacional,XGBoost,Mandate_Delayed,2027-09,18744.7,False
Nacional,XGBoost,Mandate_Delayed,2027-10,18746.0,False
Nacional,XGBoost,Mandate_Delayed,2027-11,18746.0,False
Nacional,XGBoost,Mandate_Delayed,2027-12,18744.7,False
Madrid,Ridge,Neutral,2026-01,129960.6,False
Madrid,Ridge,Neutral,2026-02,3269016.4,False
Madrid,Ridge,Neutral,2026-03,3269016.4,False
Madrid,Ridge,Neutral,2026-04,3269016.4,False
Madrid,Ridge,Neutral,2026-05,3269016.4,False
Madrid,Ridge,Neutral,2026-06,3269016.4,False
Madrid,Ridge,Neutral,2026-07,0.0,False
Madrid,Ridge,Neutral,2026-08,0.0,False
Madrid,Ridge,Neutral,2026-09,0.0,False
Madrid,Ridge,Neutral,2026-10,0.0,False
Madrid,Ridge,Neutral,2026-11,0.0,False
Madrid,Ridge,Neutral,2026-12,0.0,False
Madrid,Ridge,Neutral,2027-01,2765652.6,False
Madrid,Ridge,Neutral,2027-02,3269016.4,False
Madrid,Ridge,Neutral,2027-03,3269016.4,False
Madrid,Ridge,Neutral,2027-04,3269016.4,False
Madrid,Ridge,Neutral,2027-05,3269016.4,False
Madrid,Ridge,Neutral,2027-06,0.0,False
Madrid,Ridge,Neutral,2027-07,0.0,False
Madrid,Ridge,Neutral,2027-08,0.0,False
Madrid,Ridge,Neutral,2027-09,0.0,False
Madrid,Ridge,Neutral,2027-10,0.0,False
Madrid,Ridge,Neutral,2027-11,0.0,False
Madrid,Ridge,Neutral,2027-12,3269016.4,False
Madrid,Ridge,Macro_Downturn,2026-01,22640.8,False
Madrid,Ridge,Macro_Downturn,2026-02,347453.3,False
Madrid,Ridge,Macro_Downturn,2026-03,3269016.4,False
Madrid,Ridge,Macro_Downturn,2026-04,3269016.4,False
Madrid,Ridge,Macro_Downturn,2026-05,3269016.4,False
Madrid,Ridge,Macro_Downturn,2026-06,3269016.4,False
Madrid,Ridge,Macro_Downturn,2026-07,127.4,False
Madrid,Ridge,Macro_Downturn,2026-08,0.0,False
Madrid,Ridge,Macro_Downturn,2026-09,0.0,False
Madrid,Ridge,Macro_Downturn,2026-10,0.0,False
Madrid,Ridge,Macro_Downturn,2026-11,0.0,False
Madrid,Ridge,Macro_Downturn,2026-12,0.0,False
Madrid,Ridge,Macro_Downturn,2027-01,480885.0,False
Madrid,Ridge,Macro_Downturn,2027-02,3269016.4,False
Madrid,Ridge,Macro_Downturn,2027-03,3269016.4,False
Madrid,Ridge,Macro_Downturn,2027-04,3269016.4,False
Madrid,Ridge,Macro_Downturn,2027-05,3269016.4,False
Madrid,Ridge,Macro_Downturn,2027-06,98620.5,False
Madrid,Ridge,Macro_Downturn,2027-07,0.0,False
Madrid,Ridge,Macro_Downturn,2027-08,0.0,False
Madrid,Ridge,Macro_Downturn,2027-09,0.0,False
Madrid,Ridge,Macro_Downturn,2027-10,0.0,False
Madrid,Ridge,Macro_Downturn,2027-11,0.0,False
Madrid,Ridge,Macro_Downturn,2027-12,337719.0,False
Madrid,Ridge,Mandate_Delayed,2026-01,3119.2,False
Madrid,Ridge,Mandate_Delayed,2026-02,5094.3,False
Madrid,Ridge,Mandate_Delayed,2026-03,7588.1,False
Madrid,Ridge,Mandate_Delayed,2026-04,7021.0,False
Madrid,Ridge,Mandate_Delayed,2026-05,5138.4,False
Madrid,Ridge,Mandate_Delayed,2026-06,3060.6,False
Madrid,Ridge,Mandate_Delayed,2026-07,2524.4,False
Madrid,Ridge,Mandate_Delayed,2026-08,3244.5,False
Madrid,Ridge,Mandate_Delayed,2026-09,12264.2,False
Madrid,Ridge,Mandate_Delayed,2026-10,27669.0,False
Madrid,Ridge,Mandate_Delayed,2026-11,104546.5,False
Madrid,Ridge,Mandate_Delayed,2026-12,3269016.4,False
Madrid,Ridge,Mandate_Delayed,2027-01,3269016.4,False
Madrid,Ridge,Mandate_Delayed,2027-02,3269016.4,False
Madrid,Ridge,Mandate_Delayed,2027-03,3269016.4,False
Madrid,Ridge,Mandate_Delayed,2027-04,3269016.4,False
Madrid,Ridge,Mandate_Delayed,2027-05,0.0,False
Madrid,Ridge,Mandate_Delayed,2027-06,0.0,False
Madrid,Ridge,Mandate_Delayed,2027-07,0.0,False
Madrid,Ridge,Mandate_Delayed,2027-08,0.0,False
Madrid,Ridge,Mandate_Delayed,2027-09,0.0,False
Madrid,Ridge,Mandate_Delayed,2027-10,0.0,False
Madrid,Ridge,Mandate_Delayed,2027-11,19312.3,False
Madrid,Ridge,Mandate_Delayed,2027-12,194274.3,False
Madrid,Random Forest,Neutral,2026-01,2955.8,False
Madrid,Random Forest,Neutral,2026-02,2952.5,False
Madrid,Random Forest,Neutral,2026-03,2948.7,False
Madrid,Random Forest,Neutral,2026-04,2954.6,False
Madrid,Random Forest,Neutral,2026-05,2978.8,False
Madrid,Random Forest,Neutral,2026-06,3008.2,False
Madrid,Random Forest,Neutral,2026-07,2975.7,False
Madrid,Random Forest,Neutral,2026-08,2935.5,False
Madrid,Random Forest,Neutral,2026-09,2967.5,False
Madrid,Random Forest,Neutral,2026-10,2970.4,False
Madrid,Random Forest,Neutral,2026-11,2995.4,False
Madrid,Random Forest,Neutral,2026-12,2956.3,False
Madrid,Random Forest,Neutral,2027-01,2953.8,False
Madrid,Random Forest,Neutral,2027-02,2952.5,False
Madrid,Random Forest,Neutral,2027-03,2948.7,False
Madrid,Random Forest,Neutral,2027-04,2954.6,False
Madrid,Random Forest,Neutral,2027-05,2978.8,False
Madrid,Random Forest,Neutral,2027-06,3008.2,False
Madrid,Random Forest,Neutral,2027-07,2975.7,False
Madrid,Random Forest,Neutral,2027-08,2935.5,False
Madrid,Random Forest,Neutral,2027-09,2967.5,False
Madrid,Random Forest,Neutral,2027-10,2970.4,False
Madrid,Random Forest,Neutral,2027-11,2995.4,False
Madrid,Random Forest,Neutral,2027-12,2956.3,False
Madrid,Random Forest,Macro_Downturn,2026-01,1640.7,False
Madrid,Random Forest,Macro_Downturn,2026-02,1506.4,False
Madrid,Random Forest,Macro_Downturn,2026-03,1466.7,False
Madrid,Random Forest,Macro_Downturn,2026-04,1371.6,False
Madrid,Random Forest,Macro_Downturn,2026-05,1339.8,False
Madrid,Random Forest,Macro_Downturn,2026-06,1313.2,False
Madrid,Random Forest,Macro_Downturn,2026-07,1208.7,False
Madrid,Random Forest,Macro_Downturn,2026-08,1184.7,False
Madrid,Random Forest,Macro_Downturn,2026-09,1222.9,False
Madrid,Random Forest,Macro_Downturn,2026-10,1222.8,False
Madrid,Random Forest,Macro_Downturn,2026-11,1212.3,False
Madrid,Random Forest,Macro_Downturn,2026-12,1215.1,False
Madrid,Random Forest,Macro_Downturn,2027-01,1205.8,False
Madrid,Random Forest,Macro_Downturn,2027-02,1220.1,False
Madrid,Random Forest,Macro_Downturn,2027-03,1221.5,False
Madrid,Random Forest,Macro_Downturn,2027-04,1208.2,False
Madrid,Random Forest,Macro_Downturn,2027-05,1200.9,False
Madrid,Random Forest,Macro_Downturn,2027-06,1209.8,False
Madrid,Random Forest,Macro_Downturn,2027-07,1184.3,False
Madrid,Random Forest,Macro_Downturn,2027-08,1168.8,False
Madrid,Random Forest,Macro_Downturn,2027-09,1222.9,False
Madrid,Random Forest,Macro_Downturn,2027-10,1222.8,False
Madrid,Random Forest,Macro_Downturn,2027-11,1212.3,False
Madrid,Random Forest,Macro_Downturn,2027-12,1215.1,False
Madrid,Random Forest,Mandate_Delayed,2026-01,2955.8,False
Madrid,Random Forest,Mandate_Delayed,2026-02,2952.5,False
Madrid,Random Forest,Mandate_Delayed,2026-03,2948.7,False
Madrid,Random Forest,Mandate_Delayed,2026-04,2954.6,False
Madrid,Random Forest,Mandate_Delayed,2026-05,2978.8,False
Madrid,Random Forest,Mandate_Delayed,2026-06,3008.2,False
Madrid,Random Forest,Mandate_Delayed,2026-07,2975.7,False
Madrid,Random Forest,Mandate_Delayed,2026-08,2935.5,False
Madrid,Random Forest,Mandate_Delayed,2026-09,2967.5,False
Madrid,Random Forest,Mandate_Delayed,2026-10,2970.4,False
Madrid,Random Forest,Mandate_Delayed,2026-11,2995.4,False
Madrid,Random Forest,Mandate_Delayed,2026-12,2956.3,False
Madrid,Random Forest,Mandate_Delayed,2027-01,2953.8,False
Madrid,Random Forest,Mandate_Delayed,2027-02,2952.5,False
Madrid,Random Forest,Mandate_Delayed,2027-03,2948.7,False
