Fecha,Target,Model,Forecast
2027-05,Cataluña,XGB+Prices,1076.1
2027-06,Cataluña,XGB+Prices,1080.4
2027-07,Cataluña,XGB+Prices,1083.3
2027-08,Cataluña,XGB+Prices,1095.5
2027-09,Cataluña,XGB+Prices,930.3
2027-10,Cataluña,XGB+Prices,1095.5
2027-11,Cataluña,XGB+Prices,1095.5
2027-12,Cataluña,XGB+Prices,1095.5
2026-01,Andalucía,RF+Prices,489.9
2026-02,Andalucía,RF+Prices,487.2
2026-03,Andalucía,RF+Prices,489.7
2026-04,Andalucía,RF+Prices,489.5
2026-05,Andalucía,RF+Prices,497.7
2026-06,Andalucía,RF+Prices,497.7
2026-07,Andalucía,RF+Prices,499.9
2026-08,Andalucía,RF+Prices,498.8
2026-09,Andalucía,RF+Prices,499.1
2026-10,Andalucía,RF+Prices,497.6
2026-11,Andalucía,RF+Prices,499.1
2026-12,Andalucía,RF+Prices,496.9
2027-01,Andalucía,RF+Prices,487.2
2027-02,Andalucía,RF+Prices,487.2
2027-03,Andalucía,RF+Prices,489.7
2027-04,Andalucía,RF+Prices,489.5
2027-05,Andalucía,RF+Prices,497.7
2027-06,Andalucía,RF+Prices,497.7
2027-07,Andalucía,RF+Prices,499.9
2027-08,Andalucía,RF+Prices,498.8
2027-09,Andalucía,RF+Prices,499.1
2027-10,Andalucía,RF+Prices,497.6
2027-11,Andalucía,RF+Prices,499.1
2027-12,Andalucía,RF+Prices,496.9
2026-01,Andalucía,XGB+Prices,332.1
2026-02,Andalucía,XGB+Prices,322.4
2026-03,Andalucía,XGB+Prices,356.6
2026-04,Andalucía,XGB+Prices,409.8
2026-05,Andalucía,XGB+Prices,450.5
2026-06,Andalucía,XGB+Prices,459.6
2026-07,Andalucía,XGB+Prices,479.8
2026-08,Andalucía,XGB+Prices,479.8
2026-09,Andalucía,XGB+Prices,468.8
2026-10,Andalucía,XGB+Prices,479.8
2026-11,Andalucía,XGB+Prices,479.8
2026-12,Andalucía,XGB+Prices,466.5
2027-01,Andalucía,XGB+Prices,332.3
2027-02,Andalucía,XGB+Prices,322.6
2027-03,Andalucía,XGB+Prices,356.6
2027-04,Andalucía,XGB+Prices,409.8
2027-05,Andalucía,XGB+Prices,450.5
2027-06,Andalucía,XGB+Prices,459.6
2027-07,Andalucía,XGB+Prices,479.8
2027-08,Andalucía,XGB+Prices,479.8
2027-09,Andalucía,XGB+Prices,468.8
2027-10,Andalucía,XGB+Prices,479.8
2027-11,Andalucía,XGB+Prices,479.8
2027-12,Andalucía,XGB+Prices,466.5
