Fecha,Serie,Scenario,Forecast_Tm
2026-11,Valencia,Optimistic,1755.4
2026-12,Valencia,Optimistic,1771.4
2027-01,Valencia,Optimistic,1800.9
2027-02,Valencia,Optimistic,1844.2
2027-03,Valencia,Optimistic,1897.4
2027-04,Valencia,Optimistic,1953.5
2027-05,Valencia,Optimistic,2003.9
2027-06,Valencia,Optimistic,2041.2
2027-07,Valencia,Optimistic,2061.0
2027-08,Valencia,Optimistic,2063.0
2027-09,Valencia,Optimistic,2051.5
2027-10,Valencia,Optimistic,2033.8
2027-11,Valencia,Optimistic,2018.6
2027-12,Valencia,Optimistic,2013.8
