Fecha,Target,Model,Forecast
2027-12,Madrid,Gompertz,3760.2
2026-01,Madrid,Ridge,120428.6
2026-02,Madrid,Ridge,3269016.4
2026-03,Madrid,Ridge,3269016.4
2026-04,Madrid,Ridge,3269016.4
2026-05,Madrid,Ridge,0.0
2026-06,Madrid,Ridge,0.0
2026-07,Madrid,Ridge,0.0
2026-08,Madrid,Ridge,0.0
2026-09,Madrid,Ridge,0.0
2026-10,Madrid,Ridge,0.0
2026-11,Madrid,Ridge,374536.9
2026-12,Madrid,Ridge,3269016.4
2027-01,Madrid,Ridge,3269016.4
2027-02,Madrid,Ridge,3269016.4
2027-03,Madrid,Ridge,0.0
2027-04,Madrid,Ridge,0.0
2027-05,Madrid,Ridge,0.0
2027-06,Madrid,Ridge,0.0
2027-07,Madrid,Ridge,0.0
2027-08,Madrid,Ridge,0.0
2027-09,Madrid,Ridge,1254133.1
2027-10,Madrid,Ridge,3269016.4
2027-11,Madrid,Ridge,3269016.4
2027-12,Madrid,Ridge,3269016.4
2026-01,Madrid,Random Forest,2932.9
2026-02,Madrid,Random Forest,2932.3
2026-03,Madrid,Random Forest,2932.6
2026-04,Madrid,Random Forest,2949.1
2026-05,Madrid,Random Forest,2979.8
2026-06,Madrid,Random Forest,3001.1
2026-07,Madrid,Random Forest,2968.1
2026-08,Madrid,Random Forest,2927.1
2026-09,Madrid,Random Forest,2967.5
2026-10,Madrid,Random Forest,2965.1
2026-11,Madrid,Random Forest,2982.8
2026-12,Madrid,Random Forest,2964.1
2027-01,Madrid,Random Forest,2929.0
2027-02,Madrid,Random Forest,2932.3
2027-03,Madrid,Random Forest,2932.6
2027-04,Madrid,Random Forest,2949.1
2027-05,Madrid,Random Forest,2979.8
2027-06,Madrid,Random Forest,3001.1
2027-07,Madrid,Random Forest,2968.1
2027-08,Madrid,Random Forest,2927.1
2027-09,Madrid,Random Forest,2967.5
2027-10,Madrid,Random Forest,2965.1
2027-11,Madrid,Random Forest,2982.8
2027-12,Madrid,Random Forest,2964.1
2026-01,Madrid,XGBoost,2552.1
2026-02,Madrid,XGBoost,2552.1
2026-03,Madrid,XGBoost,2571.1
2026-04,Madrid,XGBoost,2556.2
2026-05,Madrid,XGBoost,2612.9
2026-06,Madrid,XGBoost,2755.5
2026-07,Madrid,XGBoost,2755.5
2026-08,Madrid,XGBoost,2744.4
2026-09,Madrid,XGBoost,2743.5
2026-10,Madrid,XGBoost,2743.5
2026-11,Madrid,XGBoost,2746.0
2026-12,Madrid,XGBoost,2743.5
2027-01,Madrid,XGBoost,2552.1
2027-02,Madrid,XGBoost,2552.1
2027-03,Madrid,XGBoost,2571.1
2027-04,Madrid,XGBoost,2556.2
2027-05,Madrid,XGBoost,2612.9
2027-06,Madrid,XGBoost,2755.5
2027-07,Madrid,XGBoost,2755.5
2027-08,Madrid,XGBoost,2744.4
2027-09,Madrid,XGBoost,2743.5
2027-10,Madrid,XGBoost,2743.5
2027-11,Madrid,XGBoost,2746.0
2027-12,Madrid,XGBoost,2743.5
2026-01,Madrid,Diesel Share,40752.3
2026-02,Madrid,Diesel Share,11628.0
2026-03,Madrid,Diesel Share,10697.7
2026-04,Madrid,Diesel Share,3770.9
2026-05,Madrid,Diesel Share,45116.1
